naziv,sifra,marka,jedinica_mjere,cijena_za_jedinicu_mjere,maloprodajna_cijena,posebni_oblik_prodaje,naziv_posebnog_oblika_prodaje,sidrena_cijena,barkod,dostupnost
Neo Smart karbonski rolator - L,826315NOIRL,,,,400.00,NE,,400.00,,nedostupno
Neo Smart karbonski rolator - M,826315NOIR,,,,400.00,NE,,400.00,,nedostupno
Neo XL rolator,826065,,,,229.90,NE,,229.90,,nedostupno
Nosna kanila za kisik,1844,,,,1.50,NE,,1.50,,dostupno
Noćna posuda 801087,801087,Identites,,,10.00,NE,,10.00,,nedostupno
Okrugli stolac za tuš 812014,OXY-812014,Identites,,,49.00,NE,,49.00,,dostupno
OxyHero CPAP crijevo 19 mm,01MT1000,Oxyhero,,,15.00,NE,,15.00,,nedostupno
OxyHero CPAP filter zraka za ResMed AirSense 11,01MT1083,Oxyhero,,,40.00,NE,,40.00,,dostupno
Oxyhero CPAP jastuk,01MT0932,,,,59.74,NE,,59.74,,dostupno
Oxyhero filter zraka za CPAP Philips Dreamstation2,1499,Oxyhero,,,15.00,NE,,15.00,,dostupno
Oxyhero filter zraka za ResMed CPAP uređaje,1498,Oxyhero,,,40.00,NE,,40.00,,dostupno
Oxyhero četka za čišćenje CPAP sustava,01MT1028,Oxyhero,,,17.19,NE,,17.19,,dostupno
Podmetač za kadu - Bež,OXY-818053,Identites,,,24.90,NE,,24.90,,dostupno
Podmetač za kadu - Plava,podmetac-za-kadu-bez-818053-Plava,Identites,,,24.90,NE,,24.90,,dostupno
Poklopac za noćnu posudu,801088,Identites,,,3.00,NE,,3.00,,nedostupno
Primo rolator 4 kotača,OXY-826236,Identites,,,114.98,NE,,114.98,,dostupno
Prisma Aqua CPAP ovlaživač zraka,Product_827fc116-f0f4-4494-8bc1-4d22e788e0d0,Löwenstein,,,185.00,NE,,185.00,,nedostupno
Pulsni oksimetar SP-20,SP-20,Lepu Medical,,,682.50,NE,,682.50,,dostupno
ResMed AirFit F20 for Her – Full Face CPAP maska za žene - M,Product_aa62c887-1153-48a9-8d4a-d3a67faf7d3e-M,ResMed,,,149.00,NE,,149.00,,nedostupno
ResMed AirFit F20 for Her – Full Face CPAP maska za žene - S,01MT0105,ResMed,,,149.00,NE,,149.00,,dostupno
"ResMed AirFit F20, CPAP maska za cijelo lice - L",Product_486f6a49-908b-4e94-8cfd-9362adfeba6d-L,ResMed,,,149.00,NE,,149.00,,dostupno
"ResMed AirFit F20, CPAP maska za cijelo lice - M",Product_486f6a49-908b-4e94-8cfd-9362adfeba6d-M,ResMed,,,149.00,NE,,149.00,,dostupno
"ResMed AirFit F20, CPAP maska za cijelo lice - S",01MT0104,ResMed,,,149.00,NE,,149.00,619498634071,dostupno
ResMed AirFit F30i CPAP maska za cijelo lice - Small okvir sa small jastučićem,Product_3cf735c8-0216-43e9-b43e-79b1062566b8-Small-okvir-sa-small-jastucicem,ResMed,,,160.00,NE,,160.00,,nedostupno
ResMed AirFit F30i CPAP maska za cijelo lice - Standard okvir s large jastučićem,Product_3cf735c8-0216-43e9-b43e-79b1062566b8-Standard-okvir-s-large-jastucicem,ResMed,,,160.00,NE,,160.00,,nedostupno
ResMed AirFit F30i CPAP maska za cijelo lice - Standard okvir s medium jastučićem,Product_3cf735c8-0216-43e9-b43e-79b1062566b8-Standard-okvir-s-medium-jastucicem,ResMed,,,160.00,NE,,160.00,,dostupno
ResMed AirFit F40 CPAP maska za cijelo lice - Small okvir s medium jastučićem,Product_0421fd45-acbd-4dc6-8ebc-d9d6ffe46128-Small-okvir-s-medium-jastucicem,ResMed,,,165.00,NE,,165.00,,nedostupno
ResMed AirFit F40 CPAP maska za cijelo lice - Standard okvir s large jastučićem,Product_0421fd45-acbd-4dc6-8ebc-d9d6ffe46128-Standard-okvir-s-large-jastucicem,ResMed,,,165.00,NE,,165.00,,nedostupno
ResMed AirFit F40 CPAP maska za cijelo lice - Standard okvir s medium jastučićem,Product_0421fd45-acbd-4dc6-8ebc-d9d6ffe46128-Standard-okvir-s-medium-jastucicem,ResMed,,,165.00,NE,,165.00,,nedostupno
ResMed AirFit F40 CPAP maska za cijelo lice - Standard okvir sa small-wide jastučićem,Product_0421fd45-acbd-4dc6-8ebc-d9d6ffe46128-Standard-okvir-sa-small-wide-jastucicem,ResMed,,,165.00,NE,,165.00,,nedostupno
Resmed AirFit N20 nazalna maska za potpomognuto disanje CPAP - L,Product_7d9ce467-4999-4d2b-b798-5994e959db29-L,ResMed,,,80.00,NE,,80.00,,dostupno
Resmed AirFit N20 nazalna maska za potpomognuto disanje CPAP - M,Product_7d9ce467-4999-4d2b-b798-5994e959db29-M,ResMed,,,80.00,NE,,80.00,,dostupno
Resmed AirFit N20 nazalna maska za potpomognuto disanje CPAP - S,01MT0098,ResMed,,,80.00,NE,,80.00,619498635122,nedostupno
ResMed AirFit N30i nazalna CPAP maska - Small okvir Small jastučić,Product_daf49c75-4395-455f-a719-5f1f3a9ff24d-Small-okvir-Small-jastucic,ResMed,,,120.00,NE,,120.00,,nedostupno
ResMed AirFit N30i nazalna CPAP maska - Small okvir Small-Wide jastučić,Product_daf49c75-4395-455f-a719-5f1f3a9ff24d-Small-okvir-Small-Wide-jastucic,ResMed,,,120.00,NE,,120.00,,nedostupno
ResMed AirFit N30i nazalna CPAP maska - Standard okvir Medium jastučić,Product_daf49c75-4395-455f-a719-5f1f3a9ff24d-Standard-okvir-Medium-jastucic,ResMed,,,120.00,NE,,120.00,,nedostupno
ResMed AirFit N30i nazalna CPAP maska - Standard okvir Wide jastučić,Product_daf49c75-4395-455f-a719-5f1f3a9ff24d-Standard-okvir-Wide-jastucic,ResMed,,,120.00,NE,,120.00,,nedostupno
ResMed AirFit N30i zamjenski jastučić za CPAP masku Wide - Small,Product_ad0ca484-8f27-43bb-a768-4013c874af9d-Small,ResMed,,,55.00,NE,,55.00,,nedostupno
